Wavelength,Intensity,Absorbance,Reflectance
850.804993,(null),0.09668300000000001,0.800418
864.326233,(null),0.096007,0.801665
877.7882080000001,(null),0.09538099999999999,0.802822
891.1908570000001,(null),0.07369199999999999,0.843933
904.53418,(null),0.061332,0.868296
917.818237,(null),0.056438,0.878136
931.04303,(null),0.051389,0.888405
944.208496,(null),0.046925,0.897584
957.314636,(null),0.044522,0.902564
970.361511,(null),0.044239,0.903152
983.349121,(null),0.045768,0.8999779999999999
996.277405,(null),0.046428,0.898612
1009.146362,(null),0.047008,0.897412
1021.956055,(null),0.04717,0.897078
1034.706421,(null),0.047878,0.895616
1047.397461,(null),0.047806,0.895765
1060.029297,(null),0.047388,0.896627
1072.601807,(null),0.048305,0.894736
1085.11499,(null),0.048792,0.893733
1097.568848,(null),0.051312,0.888563
1109.963501,(null),0.06211,0.866742
1122.298828,(null),0.087348,0.817809
1134.574829,(null),0.09253599999999999,0.808098
1146.791504,(null),0.07413500000000001,0.843073
1158.948853,(null),0.071358,0.848481
1171.046997,(null),0.07159699999999999,0.848014
1183.085815,(null),0.067534,0.855985
1195.065308,(null),0.06428499999999999,0.862412
1206.985596,(null),0.071127,0.848932
1218.846558,(null),0.07249800000000001,0.846256
1230.648193,(null),0.06514499999999999,0.860706
1242.390503,(null),0.06122,0.86852
1254.073486,(null),0.060958,0.869044
1265.697266,(null),0.061375,0.86821
1277.261719,(null),0.062893,0.865181
1288.766846,(null),0.064148,0.862685
1300.212646,(null),0.065036,0.860922
1311.599243,(null),0.06621299999999999,0.858592
1322.926514,(null),0.069005,0.85309
1334.194458,(null),0.074493,0.842378
1345.403076,(null),0.083076,0.825893
1356.55249,(null),0.087269,0.817958
1367.642456,(null),0.093806,0.805738
1378.673218,(null),0.09384000000000001,0.805675
1389.644775,(null),0.094262,0.804893
1400.556885,(null),0.09156300000000001,0.80991
1411.40979,(null),0.09236900000000001,0.808409
1422.203369,(null),0.09923899999999999,0.795721
1432.937622,(null),0.109278,0.777539
1443.612671,(null),0.121704,0.755607
1454.228271,(null),0.127552,0.745501
1464.784668,(null),0.12918,0.742711
1475.281738,(null),0.134995,0.732833
1485.719604,(null),0.14178,0.721473
1496.098145,(null),0.147678,0.711741
1506.417236,(null),0.152107,0.704519
1516.677246,(null),0.158243,0.694636
1526.877808,(null),0.162654,0.687616
1537.019043,(null),0.164115,0.685307
1547.101074,(null),0.162023,0.688616
1557.123779,(null),0.160067,0.691724
1567.08728,(null),0.162387,0.688039
1576.991333,(null),0.168046,0.679132
1586.836182,(null),0.174551,0.669035
1596.621704,(null),0.178604,0.662821
1606.3479,(null),0.186942,0.650217
1616.014893,(null),0.19595,0.636869
1625.622437,(null),0.204885,0.6239
1635.170776,(null),0.231035,0.587442
1644.659912,(null),0.260094,0.549422
1654.0896,(null),0.234376,0.58294
1663.460083,(null),0.189204,0.6468390000000001
1672.77124,(null),0.149791,0.708287
1682.023071,(null),0.131055,0.7395119999999999
1691.215576,(null),0.12278,0.753737
1700.348877,(null),0.114174,0.768822
1709.422852,(null),0.11099,0.7744799999999999
1718.4375,(null),0.105872,0.7836610000000001
1727.392822,(null),0.105821,0.783753
1736.28894,(null),0.101081,0.792354
1745.125732,(null),0.101383,0.791803
1753.903198,(null),0.101066,0.792381
1762.621338,(null),0.100234,0.7939000000000001
1771.280273,(null),0.098554,0.796977
1779.879761,(null),0.098289,0.797464
